Time stamp,State
2023-12-05 05:20:19,on
2023-12-05 05:21:28,off
2023-12-05 05:25:08,on
2023-12-05 05:26:43,off
2023-12-05 05:45:05,on
2023-12-05 05:46:23,off
2023-12-05 05:48:25,on
2023-12-05 05:51:06,off
2023-12-05 05:51:15,on
2023-12-05 05:53:44,off
2023-12-05 05:57:19,on
2023-12-05 05:59:33,off
2023-12-05 06:49:35,on
2023-12-05 06:52:23,off
2023-12-05 06:53:49,on
2023-12-05 06:54:55,off
2023-12-05 06:57:59,on
2023-12-05 06:59:14,off
2023-12-05 06:59:41,on
2023-12-05 07:00:54,off
2023-12-05 07:15:35,on
2023-12-05 07:16:46,off
2023-12-05 07:22:19,on
2023-12-05 07:25:26,off
2023-12-05 07:27:26,on
2023-12-05 07:29:08,off
2023-12-05 07:30:05,on
2023-12-05 07:32:59,off
2023-12-05 07:38:42,on
2023-12-05 07:41:40,off
2023-12-05 07:43:28,on
2023-12-05 07:44:39,off
2023-12-05 07:45:50,on
2023-12-05 07:46:55,off
2023-12-05 07:47:49,on
2023-12-05 07:49:05,off
2023-12-05 07:50:38,on
2023-12-05 07:51:52,off
2023-12-05 08:18:06,on
2023-12-05 08:20:58,off
2023-12-05 08:22:23,on
2023-12-05 08:23:35,off
2023-12-05 08:28:00,on
2023-12-05 08:29:16,off
2023-12-05 08:42:07,on
2023-12-05 08:44:20,off
2023-12-05 08:50:55,on
2023-12-05 08:51:59,off
2023-12-05 08:53:56,on
2023-12-05 11:00:46,off
2023-12-05 11:02:21,on
2023-12-05 11:04:33,off
2023-12-05 11:05:57,on
2023-12-05 11:07:19,off
2023-12-05 11:10:45,on
2023-12-05 11:13:39,off
2023-12-05 12:57:52,on
2023-12-05 12:59:21,off
2023-12-05 12:59:41,on
2023-12-05 13:01:19,off
2023-12-05 13:02:10,on
2023-12-05 13:08:08,off
2023-12-05 13:08:51,on
2023-12-05 13:11:18,off
2023-12-05 13:11:25,on
2023-12-05 13:12:31,off
2023-12-05 13:13:26,on
2023-12-05 13:15:20,off
2023-12-05 13:16:10,on
2023-12-05 13:18:15,off
2023-12-05 13:20:18,on
2023-12-05 13:22:53,off
2023-12-05 16:00:03,on
2023-12-05 16:02:14,off
2023-12-05 16:03:06,on
2023-12-05 16:04:09,off
2023-12-05 16:05:08,on
2023-12-05 16:06:13,off
2023-12-05 16:10:26,on
2023-12-05 16:11:31,off
2023-12-05 16:17:52,on
2023-12-05 16:19:10,off
2023-12-05 16:21:05,on
2023-12-05 16:22:20,off
2023-12-05 16:22:40,on
2023-12-05 16:26:48,off
2023-12-05 16:27:02,on
2023-12-05 16:28:13,off
2023-12-05 18:12:31,on
2023-12-05 18:13:36,off
2023-12-05 18:14:19,on
2023-12-05 18:17:19,off
2023-12-05 18:18:02,on
2023-12-05 18:19:33,off
2023-12-05 18:19:47,on
2023-12-05 18:23:18,off
2023-12-05 18:24:01,on
2023-12-05 18:25:05,off
2023-12-05 18:25:19,on
2023-12-05 18:26:25,off
2023-12-05 18:51:30,on
2023-12-05 18:52:35,off
2023-12-05 18:52:40,on
2023-12-05 18:54:26,off
2023-12-05 18:59:34,on
2023-12-05 19:01:07,off
2023-12-05 19:05:03,on
2023-12-05 19:07:29,unavailable
2023-12-05 19:07:51,on
2023-12-05 19:17:00,off
2023-12-05 19:17:10,on
2023-12-05 19:26:03,off
2023-12-05 19:26:39,on
2023-12-05 19:27:44,off
2023-12-05 19:42:13,on
2023-12-05 19:43:43,off
2023-12-05 19:44:20,on
2023-12-05 19:46:28,off
2023-12-05 19:46:40,on
2023-12-05 19:53:19,off
2023-12-05 19:54:32,on
2023-12-05 19:55:44,off
2023-12-05 19:59:36,on
2023-12-05 20:01:09,off
2023-12-05 20:06:32,on
2023-12-05 20:09:04,off
2023-12-05 20:38:26,on
2023-12-05 21:08:27,off
2023-12-05 21:12:49,on
2023-12-05 21:13:54,off
2023-12-05 21:14:16,on
2023-12-05 21:15:30,off
2023-12-05 21:17:43,on
2023-12-05 21:18:49,off
2023-12-05 21:20:56,on
2023-12-05 21:25:12,off
2023-12-05 21:31:12,unavailable
2023-12-05 21:31:54,off
2023-12-05 21:32:44,on
2023-12-05 21:38:24,off
2023-12-05 21:42:36,on
2023-12-05 21:44:31,off
2023-12-05 21:51:12,on
2023-12-05 21:52:48,off
2023-12-05 22:04:00,on
2023-12-05 22:06:14,off
2023-12-05 22:09:59,on
2023-12-05 22:13:44,off
2023-12-05 22:14:06,on
2023-12-05 22:17:37,off
2023-12-05 22:19:15,on
2023-12-05 22:20:19,off
2023-12-05 22:43:17,on
2023-12-05 22:44:22,off
2023-12-05 23:00:40,on
2023-12-05 23:02:29,off
2023-12-05 23:02:47,on
2023-12-05 23:03:52,off
2023-12-05 23:16:21,on
2023-12-05 23:17:26,off
2023-12-05 23:18:32,on
2023-12-05 23:19:35,off
2023-12-05 23:41:33,on
2023-12-05 23:42:36,off
2023-12-05 23:43:20,on
2023-12-05 23:44:26,off
2023-12-06 02:09:19,on
2023-12-06 02:10:27,off
2023-12-06 02:11:05,on
2023-12-06 02:12:10,off
2023-12-06 02:13:20,on
2023-12-06 02:14:49,off
2023-12-06 05:26:21,on
2023-12-06 05:27:33,off
2023-12-06 05:39:27,on
2023-12-06 05:40:32,off
2023-12-06 05:41:32,on
2023-12-06 05:44:18,off
2023-12-06 05:48:22,on
2023-12-06 05:49:39,off
2023-12-06 05:50:25,on
2023-12-06 05:53:11,off
2023-12-06 05:53:57,on
2023-12-06 05:56:00,off
2023-12-06 05:56:21,on
2023-12-06 05:57:53,off
2023-12-06 06:54:22,on
2023-12-06 06:55:47,off
2023-12-06 06:56:15,on
2023-12-06 06:57:54,off
2023-12-06 07:49:38,on
2023-12-06 07:51:06,off
2023-12-06 07:51:12,on
2023-12-06 07:54:05,off
2023-12-06 08:00:28,on
2023-12-06 08:01:33,off
2023-12-06 08:01:51,on
2023-12-06 08:04:01,off
2023-12-06 08:43:00,on
2023-12-06 08:44:06,off
2023-12-06 08:44:50,on
2023-12-06 08:46:37,off
2023-12-06 08:49:41,on
2023-12-06 08:50:43,off
2023-12-06 09:04:34,on
2023-12-06 09:05:41,off
2023-12-06 09:06:30,on
2023-12-06 09:08:59,off
2023-12-06 09:13:38,on
2023-12-06 09:36:24,off
2023-12-06 09:37:45,on
2023-12-06 09:39:05,off
2023-12-06 09:39:45,on
2023-12-06 09:41:00,off
2023-12-06 09:52:14,on
2023-12-06 09:54:26,off
2023-12-06 10:08:15,on
2023-12-06 10:09:38,off
2023-12-06 10:18:11,on
2023-12-06 10:20:08,off
2023-12-06 10:49:52,on
2023-12-06 10:57:14,off
2023-12-06 10:57:24,on
2023-12-06 10:58:46,off
2023-12-06 11:00:07,on
2023-12-06 11:01:38,off
2023-12-06 11:09:17,on
2023-12-06 11:11:26,off
2023-12-06 11:12:57,on
2023-12-06 11:14:01,off
2023-12-06 11:14:10,on
2023-12-06 11:15:35,off
2023-12-06 11:16:59,on
2023-12-06 11:18:03,off
2023-12-06 11:27:36,on
2023-12-06 11:29:28,off
2023-12-06 11:30:49,on
2023-12-06 11:31:54,off
2023-12-06 11:35:54,on
2023-12-06 11:37:30,off
2023-12-06 11:39:35,on
2023-12-06 11:40:40,off
2023-12-06 12:21:34,on
2023-12-06 12:22:48,off
2023-12-06 12:31:43,on
2023-12-06 12:32:53,off
2023-12-06 12:34:17,on
2023-12-06 12:35:21,off
2023-12-06 12:35:42,on
2023-12-06 12:36:46,off
2023-12-06 12:37:03,on
2023-12-06 12:38:07,off
2023-12-06 12:40:11,on
2023-12-06 12:41:25,off
2023-12-06 12:41:52,on
2023-12-06 12:42:56,off
2023-12-06 12:45:22,on
2023-12-06 12:46:26,off
2023-12-06 12:46:38,on
2023-12-06 12:49:07,off
2023-12-06 12:56:04,on
2023-12-06 12:57:09,off
2023-12-06 12:57:23,on
2023-12-06 12:59:58,off
2023-12-06 13:00:40,on
2023-12-06 13:02:02,off
2023-12-06 13:02:08,on
2023-12-06 13:03:54,off
2023-12-06 13:07:48,on
2023-12-06 13:09:35,off
2023-12-06 13:20:09,on
2023-12-06 13:23:22,off
2023-12-06 16:02:43,on
2023-12-06 16:03:48,off
2023-12-06 16:03:54,on
2023-12-06 16:05:01,off
2023-12-06 16:05:41,on
2023-12-06 16:06:47,off
2023-12-06 16:07:23,on
2023-12-06 16:12:15,off
2023-12-06 16:19:29,on
2023-12-06 16:20:51,off
2023-12-06 17:34:02,on
2023-12-06 17:35:39,off
2023-12-06 17:38:49,on
2023-12-06 17:41:37,off
2023-12-06 17:50:29,on
2023-12-06 17:52:43,off
2023-12-06 17:59:33,on
2023-12-06 18:02:29,off
2023-12-06 18:02:52,on
2023-12-06 18:04:23,off
2023-12-06 18:18:30,on
2023-12-06 18:19:44,off
2023-12-06 18:19:57,on
2023-12-06 18:22:41,off
2023-12-06 18:48:39,on
2023-12-06 18:50:07,off
2023-12-06 18:51:56,on
2023-12-06 18:53:50,off
2023-12-06 18:54:20,on
2023-12-06 18:56:07,off
2023-12-06 18:56:19,on
2023-12-06 18:59:53,off
2023-12-06 19:08:50,on
2023-12-06 19:11:05,off
2023-12-06 19:27:54,on
2023-12-06 19:33:01,off
2023-12-06 20:11:25,on
2023-12-06 20:13:01,off
2023-12-06 20:28:53,on
2023-12-06 20:31:53,off
2023-12-06 20:32:46,on
2023-12-06 20:33:48,off
2023-12-06 20:35:09,on
2023-12-06 20:36:35,off
2023-12-06 20:36:53,on
2023-12-06 20:39:38,off
2023-12-06 21:39:17,on
2023-12-06 21:43:44,off
2023-12-06 21:44:20,on
2023-12-06 21:45:31,off
2023-12-06 21:45:41,on
2023-12-06 21:47:30,off
2023-12-06 21:47:38,on
2023-12-06 21:50:45,off
2023-12-06 21:54:13,on
2023-12-06 21:55:19,off
2023-12-06 21:56:09,on
2023-12-06 21:57:59,off
2023-12-06 22:02:56,on
2023-12-06 22:04:17,off
2023-12-06 22:10:39,on
2023-12-06 22:12:55,off
2023-12-06 22:15:24,on
2023-12-06 22:16:33,off
2023-12-06 22:16:39,on
2023-12-06 22:19:30,off
2023-12-06 22:19:41,on
2023-12-06 22:23:34,off
2023-12-06 22:27:23,on
2023-12-06 22:29:08,off
2023-12-06 22:34:42,on
2023-12-06 22:36:12,off
2023-12-06 22:51:11,on
2023-12-06 22:52:16,off
2023-12-06 22:53:13,on
2023-12-06 22:54:27,off
2023-12-06 23:05:15,on
2023-12-06 23:09:28,off
2023-12-06 23:09:36,on
2023-12-06 23:10:40,off
2023-12-06 23:12:17,on
2023-12-06 23:13:20,off
2023-12-06 23:13:57,on
2023-12-06 23:18:12,off
2023-12-06 23:19:34,on
2023-12-06 23:21:37,off
2023-12-06 23:22:44,on
2023-12-06 23:23:49,off
2023-12-06 23:31:28,on
2023-12-06 23:33:07,off
2023-12-06 23:33:14,on
2023-12-06 23:34:19,off
2023-12-06 23:34:34,on
2023-12-06 23:35:37,off
2023-12-06 23:37:27,on
2023-12-06 23:38:34,off
2023-12-07 00:19:29,on
2023-12-07 00:21:06,off
2023-12-07 00:26:06,on
2023-12-07 00:28:12,off
2023-12-07 00:28:37,on
2023-12-07 00:31:29,off
2023-12-07 00:32:14,on
2023-12-07 00:33:41,off
2023-12-07 06:35:52,on
2023-12-07 06:37:28,off
2023-12-07 06:37:35,on
2023-12-07 06:38:41,off
2023-12-07 06:40:12,on
2023-12-07 06:41:16,off
2023-12-07 07:20:04,on
2023-12-07 07:21:09,off
2023-12-07 07:22:42,on
2023-12-07 07:23:45,off
2023-12-07 07:24:02,on
2023-12-07 07:27:02,off
2023-12-07 07:44:04,on
2023-12-07 07:45:24,off
2023-12-07 07:45:35,on
2023-12-07 07:47:31,off
2023-12-07 07:54:40,on
2023-12-07 07:55:43,off
2023-12-07 08:00:46,on
2023-12-07 08:01:51,off
2023-12-07 08:05:15,on
2023-12-07 08:09:16,off
2023-12-07 08:11:11,on
2023-12-07 08:13:08,off
2023-12-07 08:14:03,on
2023-12-07 08:15:14,off
2023-12-07 08:15:29,on
2023-12-07 08:17:35,off
2023-12-07 08:22:30,on
2023-12-07 08:23:34,off
2023-12-07 08:23:58,on
2023-12-07 08:25:01,off
2023-12-07 08:25:16,on
2023-12-07 08:26:54,off
2023-12-07 08:31:24,on
2023-12-07 08:34:28,off
2023-12-07 08:35:25,on
2023-12-07 08:37:00,off
2023-12-07 08:37:10,on
2023-12-07 08:39:07,off
2023-12-07 09:11:04,on
2023-12-07 09:12:40,off
2023-12-07 09:14:05,on
2023-12-07 09:16:23,off
2023-12-07 11:59:11,on
2023-12-07 12:02:15,off
2023-12-07 12:02:30,on
2023-12-07 12:05:20,off
2023-12-07 12:50:26,on
2023-12-07 12:51:54,off
2023-12-07 12:53:09,on
2023-12-07 12:54:20,off
2023-12-07 12:56:55,on
2023-12-07 12:59:08,off
2023-12-07 13:02:30,on
2023-12-07 13:03:39,off
2023-12-07 13:05:25,on
2023-12-07 13:06:39,off
2023-12-07 14:25:41,on
2023-12-07 14:26:46,off
2023-12-07 14:28:15,on
2023-12-07 14:29:25,off
2023-12-07 14:32:15,on
2023-12-07 14:34:34,off
2023-12-07 14:35:57,on
2023-12-07 14:37:07,off
2023-12-07 14:37:35,on
2023-12-07 14:39:45,off
2023-12-07 14:40:19,on
2023-12-07 14:44:20,off
2023-12-07 14:52:10,on
2023-12-07 14:55:18,off
2023-12-07 14:55:33,on
2023-12-07 14:56:56,off
2023-12-07 14:58:04,on
2023-12-07 14:59:39,off
2023-12-07 15:00:05,on
2023-12-07 15:06:36,off
2023-12-07 15:07:06,on
2023-12-07 15:08:11,off
2023-12-07 15:08:32,on
2023-12-07 15:11:41,off
2023-12-07 15:15:17,on
2023-12-07 15:17:41,off
2023-12-07 15:18:28,on
2023-12-07 15:19:48,off
2023-12-07 15:25:16,on
2023-12-07 15:27:08,off
2023-12-07 15:33:53,on
2023-12-07 15:35:01,off
2023-12-07 15:57:08,on
2023-12-07 15:59:56,off
2023-12-07 16:00:26,on
2023-12-07 16:01:38,off
2023-12-07 17:13:50,on
2023-12-07 17:15:29,off
2023-12-07 17:15:38,on
2023-12-07 17:17:56,off
2023-12-07 17:19:18,on
2023-12-07 17:20:22,off
2023-12-07 17:22:55,on
2023-12-07 17:24:04,off
2023-12-07 17:24:17,on
2023-12-07 17:25:44,off
2023-12-07 17:25:55,on
2023-12-07 17:27:10,off
2023-12-07 17:27:17,on
2023-12-07 17:28:46,off
2023-12-07 17:43:04,on
2023-12-07 17:44:11,off
2023-12-07 17:49:23,on
2023-12-07 17:51:30,off
2023-12-07 17:52:03,on
2023-12-07 17:53:34,off
2023-12-07 18:09:43,on
2023-12-07 18:10:52,off
2023-12-07 18:11:55,on
2023-12-07 18:13:59,off
2023-12-07 18:14:47,on
2023-12-07 18:17:19,off
2023-12-07 18:35:27,on
2023-12-07 18:36:46,off
2023-12-07 18:37:19,on
2023-12-07 18:42:56,off
2023-12-07 18:44:37,on
2023-12-07 18:45:42,off
2023-12-07 18:47:53,on
2023-12-07 18:49:07,off
2023-12-07 18:49:41,on
2023-12-07 18:50:46,off
2023-12-07 18:51:06,on
2023-12-07 18:54:03,off
2023-12-07 18:55:58,on
2023-12-07 19:03:16,off
2023-12-07 19:03:57,on
2023-12-07 19:06:58,off
2023-12-07 19:08:09,on
2023-12-07 19:10:17,off
2023-12-07 19:10:25,on
2023-12-07 19:13:02,off
2023-12-07 19:18:52,on
2023-12-07 19:27:38,off
2023-12-07 19:28:20,on
2023-12-07 19:32:11,off
2023-12-07 19:35:23,on
2023-12-07 19:38:58,off
2023-12-07 19:39:27,on
2023-12-07 19:40:33,off
2023-12-07 19:43:14,on
2023-12-07 19:44:19,off
2023-12-07 19:44:55,on
2023-12-07 19:46:31,off
2023-12-07 19:46:41,on
2023-12-07 19:48:17,off
2023-12-07 19:48:34,on
2023-12-07 19:50:50,off
2023-12-07 19:51:35,on
2023-12-07 19:53:50,off
2023-12-07 20:41:46,on
2023-12-07 20:44:36,off
2023-12-07 20:45:40,on
2023-12-07 20:49:54,off
2023-12-07 20:53:14,on
2023-12-07 20:55:53,off
