Time stamp,State
2023-12-05 04:20:46,on
2023-12-05 04:21:49,off
2023-12-05 04:23:48,on
2023-12-05 04:25:11,off
2023-12-05 04:29:50,on
2023-12-05 04:30:53,off
2023-12-05 04:35:28,on
2023-12-05 04:36:41,off
2023-12-05 04:45:54,on
2023-12-05 04:47:01,off
2023-12-05 04:50:09,on
2023-12-05 04:51:30,off
2023-12-05 05:00:06,on
2023-12-05 05:01:20,off
2023-12-05 05:15:09,on
2023-12-05 05:16:24,off
2023-12-05 05:20:04,on
2023-12-05 05:21:21,off
2023-12-05 05:25:41,on
2023-12-05 05:27:16,off
2023-12-05 05:30:07,on
2023-12-05 05:31:12,off
2023-12-05 05:31:30,on
2023-12-05 05:32:35,off
2023-12-05 05:35:22,on
2023-12-05 05:37:41,off
2023-12-05 05:39:27,on
2023-12-05 05:46:06,off
2023-12-05 05:51:19,on
2023-12-05 05:52:34,off
2023-12-05 05:57:03,on
2023-12-05 05:58:20,off
2023-12-05 05:58:36,on
2023-12-05 06:00:24,off
2023-12-05 06:01:53,on
2023-12-05 06:03:28,off
2023-12-05 06:05:08,on
2023-12-05 06:06:12,off
2023-12-05 06:07:13,on
2023-12-05 06:08:17,off
2023-12-05 06:08:23,on
2023-12-05 06:09:26,off
2023-12-05 06:21:03,on
2023-12-05 06:22:07,off
2023-12-05 06:23:04,on
2023-12-05 06:25:00,off
2023-12-05 06:27:45,on
2023-12-05 06:29:39,off
2023-12-05 06:46:46,on
2023-12-05 06:50:36,off
2023-12-05 07:15:40,on
2023-12-05 07:16:45,off
2023-12-05 07:27:55,on
2023-12-05 07:29:08,off
2023-12-05 07:30:27,on
2023-12-05 07:31:45,off
2023-12-05 07:43:33,on
2023-12-05 07:44:37,off
2023-12-05 07:45:54,on
2023-12-05 07:56:40,off
2023-12-05 08:03:05,on
2023-12-05 08:04:09,off
2023-12-05 08:04:27,on
2023-12-05 08:05:31,off
2023-12-05 08:14:24,on
2023-12-05 08:15:27,off
2023-12-05 08:17:58,on
2023-12-05 08:20:04,off
2023-12-05 08:28:14,on
2023-12-05 08:30:19,off
2023-12-05 08:43:02,on
2023-12-05 08:44:15,off
2023-12-05 08:54:49,on
2023-12-05 08:57:01,off
2023-12-05 10:20:27,on
2023-12-05 10:21:30,off
2023-12-05 12:20:47,on
2023-12-05 12:21:51,off
2023-12-05 12:57:56,on
2023-12-05 13:00:43,off
2023-12-05 13:04:24,on
2023-12-05 13:06:15,off
2023-12-05 13:06:25,on
2023-12-05 13:08:05,off
2023-12-05 13:11:29,on
2023-12-05 13:14:26,off
2023-12-05 13:16:21,on
2023-12-05 13:17:38,off
2023-12-05 13:20:23,on
2023-12-05 13:22:20,off
2023-12-05 16:00:59,on
2023-12-05 16:02:13,off
2023-12-05 16:03:09,on
2023-12-05 16:06:10,off
2023-12-05 16:25:11,on
2023-12-05 16:26:48,off
2023-12-05 17:28:23,on
2023-12-05 17:29:36,off
2023-12-05 17:39:07,on
2023-12-05 17:40:49,off
2023-12-05 18:12:23,on
2023-12-05 18:13:32,off
2023-12-05 18:16:18,on
2023-12-05 18:21:04,off
2023-12-05 18:21:25,on
2023-12-05 18:22:38,off
2023-12-05 18:23:40,on
2023-12-05 18:24:43,off
2023-12-05 18:25:23,on
2023-12-05 18:26:42,off
2023-12-05 18:27:41,on
2023-12-05 18:31:57,off
2023-12-05 18:32:11,on
2023-12-05 18:34:26,off
2023-12-05 18:34:53,on
2023-12-05 18:35:57,off
2023-12-05 18:36:31,on
2023-12-05 18:38:02,off
2023-12-05 18:39:13,on
2023-12-05 18:44:59,off
2023-12-05 18:45:18,on
2023-12-05 18:47:08,off
2023-12-05 18:49:15,on
2023-12-05 18:52:31,off
2023-12-05 18:53:59,on
2023-12-05 18:57:32,off
2023-12-05 18:58:39,on
2023-12-05 19:01:19,off
2023-12-05 19:02:17,on
2023-12-05 19:03:37,off
2023-12-05 19:03:53,on
2023-12-05 19:07:29,unavailable
2023-12-05 19:07:51,on
2023-12-05 19:15:03,off
2023-12-05 19:15:24,on
2023-12-05 19:18:06,off
2023-12-05 19:22:10,on
2023-12-05 19:26:01,off
2023-12-05 19:47:33,on
2023-12-05 19:48:39,off
2023-12-05 19:49:26,on
2023-12-05 19:53:15,off
2023-12-05 19:53:47,on
2023-12-05 19:55:33,off
2023-12-05 20:07:45,on
2023-12-05 20:09:31,off
2023-12-05 20:10:06,on
2023-12-05 20:11:09,off
2023-12-05 20:13:48,on
2023-12-05 20:14:52,off
2023-12-05 20:17:51,on
2023-12-05 20:18:55,off
2023-12-05 20:27:14,on
2023-12-05 20:28:19,off
2023-12-05 20:29:22,on
2023-12-05 20:30:25,off
2023-12-05 20:33:25,on
2023-12-05 20:56:24,off
2023-12-05 21:00:01,on
2023-12-05 21:01:49,off
2023-12-05 21:07:09,on
2023-12-05 21:08:20,off
2023-12-05 21:14:25,on
2023-12-05 21:16:20,off
2023-12-05 21:16:31,on
2023-12-05 21:17:35,off
2023-12-05 21:17:49,on
2023-12-05 21:20:43,off
2023-12-05 21:20:49,on
2023-12-05 21:21:58,off
2023-12-05 21:22:16,on
2023-12-05 21:23:34,off
2023-12-05 21:28:32,on
2023-12-05 21:31:12,unavailable
2023-12-05 21:31:54,off
2023-12-05 21:32:33,on
2023-12-05 21:33:45,off
2023-12-05 22:15:36,on
2023-12-05 22:18:20,off
2023-12-05 22:23:45,on
2023-12-05 22:24:49,off
2023-12-05 22:27:47,on
2023-12-05 22:28:51,off
2023-12-05 22:32:45,on
2023-12-05 22:33:55,off
2023-12-05 22:37:37,on
2023-12-05 22:38:40,off
2023-12-05 22:40:49,on
2023-12-05 22:41:55,off
2023-12-05 22:42:39,on
2023-12-05 22:51:11,off
2023-12-05 22:53:15,on
2023-12-05 22:54:19,off
2023-12-05 23:00:33,on
2023-12-05 23:01:41,off
2023-12-05 23:03:20,on
2023-12-05 23:04:42,off
2023-12-05 23:16:08,on
2023-12-05 23:17:21,off
2023-12-05 23:18:35,on
2023-12-05 23:20:47,off
2023-12-05 23:22:52,on
2023-12-05 23:24:03,off
2023-12-05 23:41:19,on
2023-12-05 23:42:36,off
2023-12-05 23:43:24,on
2023-12-05 23:45:19,off
2023-12-06 00:00:24,on
2023-12-06 00:01:26,off
2023-12-06 00:03:47,on
2023-12-06 00:04:53,off
2023-12-06 00:04:59,on
2023-12-06 00:06:02,off
2023-12-06 00:13:12,on
2023-12-06 00:14:15,off
2023-12-06 00:34:46,on
2023-12-06 00:35:51,off
2023-12-06 00:44:51,on
2023-12-06 00:45:55,off
2023-12-06 01:05:29,on
2023-12-06 01:07:30,off
2023-12-06 01:08:57,on
2023-12-06 01:10:01,off
2023-12-06 01:14:31,on
2023-12-06 01:15:35,off
2023-12-06 01:16:09,on
2023-12-06 01:17:13,off
2023-12-06 01:17:59,on
2023-12-06 01:19:03,off
2023-12-06 01:20:34,on
2023-12-06 01:21:43,off
2023-12-06 01:43:25,on
2023-12-06 01:44:28,off
2023-12-06 01:49:29,on
2023-12-06 01:50:33,off
2023-12-06 02:01:57,on
2023-12-06 02:03:01,off
2023-12-06 02:04:35,on
2023-12-06 02:05:39,off
2023-12-06 02:06:07,on
2023-12-06 02:07:32,off
2023-12-06 02:08:48,on
2023-12-06 02:10:20,off
2023-12-06 02:13:47,on
2023-12-06 02:18:14,off
2023-12-06 02:19:01,on
2023-12-06 02:20:42,off
2023-12-06 02:30:08,on
2023-12-06 02:31:16,off
2023-12-06 03:02:13,on
2023-12-06 03:04:22,off
2023-12-06 03:07:32,on
2023-12-06 03:08:36,off
2023-12-06 03:09:36,on
2023-12-06 03:10:40,off
2023-12-06 03:13:38,on
2023-12-06 03:15:33,off
2023-12-06 03:17:05,on
2023-12-06 03:18:09,off
2023-12-06 03:38:18,on
2023-12-06 03:39:27,off
2023-12-06 03:44:50,on
2023-12-06 03:45:54,off
2023-12-06 03:49:12,on
2023-12-06 03:50:15,off
2023-12-06 03:57:38,on
2023-12-06 03:58:49,off
2023-12-06 04:06:02,on
2023-12-06 04:07:07,off
2023-12-06 04:15:32,on
2023-12-06 04:16:46,off
2023-12-06 04:21:32,on
2023-12-06 04:22:39,off
2023-12-06 04:35:28,on
2023-12-06 04:36:32,off
2023-12-06 04:43:26,on
2023-12-06 04:44:35,off
2023-12-06 04:45:05,on
2023-12-06 04:46:11,off
2023-12-06 04:47:10,on
2023-12-06 04:48:54,off
2023-12-06 04:49:15,on
2023-12-06 04:51:31,off
2023-12-06 04:56:31,on
2023-12-06 05:02:07,off
2023-12-06 05:08:25,on
2023-12-06 05:09:28,off
2023-12-06 05:14:30,on
2023-12-06 05:17:39,off
2023-12-06 05:19:06,on
2023-12-06 05:20:12,off
2023-12-06 05:23:12,on
2023-12-06 05:27:22,off
2023-12-06 05:32:26,on
2023-12-06 05:33:43,off
2023-12-06 05:36:11,on
2023-12-06 05:37:46,off
2023-12-06 05:39:33,on
2023-12-06 05:43:43,off
2023-12-06 05:48:05,on
2023-12-06 05:49:11,off
2023-12-06 05:51:30,on
2023-12-06 05:53:56,off
2023-12-06 06:53:55,on
2023-12-06 06:55:24,off
2023-12-06 06:56:52,on
2023-12-06 06:58:16,off
2023-12-06 07:03:03,on
2023-12-06 07:04:33,off
2023-12-06 07:04:44,on
2023-12-06 07:05:47,off
2023-12-06 07:07:05,on
2023-12-06 07:08:08,off
2023-12-06 07:11:37,on
2023-12-06 07:12:55,off
2023-12-06 07:17:36,on
2023-12-06 07:18:40,off
2023-12-06 07:19:01,on
2023-12-06 07:20:06,off
2023-12-06 07:25:46,on
2023-12-06 07:26:49,off
2023-12-06 07:27:22,on
2023-12-06 07:28:26,off
2023-12-06 07:33:10,on
2023-12-06 07:34:13,off
2023-12-06 07:35:35,on
2023-12-06 07:36:38,off
2023-12-06 07:44:52,on
2023-12-06 07:46:12,off
2023-12-06 07:46:44,on
2023-12-06 07:47:48,off
2023-12-06 07:48:35,on
2023-12-06 07:50:39,off
2023-12-06 07:51:48,on
2023-12-06 07:51:50,off
2023-12-06 08:02:45,on
2023-12-06 08:03:57,off
2023-12-06 09:33:12,on
2023-12-06 09:36:20,off
2023-12-06 09:39:48,on
2023-12-06 09:40:58,off
2023-12-06 09:52:26,on
