Time stamp,State
2023-12-05 05:52:53,on
2023-12-05 05:52:57,off
2023-12-05 08:56:44,on
2023-12-05 08:57:00,off
2023-12-05 10:56:50,on
2023-12-05 10:56:53,off
2023-12-05 13:22:06,on
2023-12-05 13:22:09,off
2023-12-05 15:59:49,on
2023-12-05 15:59:53,off
2023-12-05 18:17:52,on
2023-12-05 18:17:55,off
2023-12-05 19:07:29,unavailable
2023-12-05 19:07:51,off
2023-12-05 21:31:12,unavailable
2023-12-05 21:31:54,off
2023-12-05 22:14:20,on
2023-12-05 22:14:36,off
2023-12-06 05:57:07,on
2023-12-06 05:57:09,off
2023-12-06 09:07:31,on
2023-12-06 09:07:36,off
2023-12-06 10:55:34,on
2023-12-06 10:57:11,off
2023-12-06 13:22:25,on
2023-12-06 13:22:28,off
2023-12-06 16:02:29,on
2023-12-06 16:02:33,off
2023-12-06 18:18:19,on
2023-12-06 18:18:24,off
2023-12-06 20:38:41,on
2023-12-06 20:38:54,off
2023-12-06 21:38:48,on
2023-12-06 21:39:12,off
2023-12-06 23:16:43,on
2023-12-06 23:16:51,off
2023-12-07 08:38:15,on
2023-12-07 08:38:18,off
2023-12-07 14:54:21,on
2023-12-07 14:55:25,off
2023-12-07 18:42:23,on
2023-12-07 18:52:32,off
2023-12-07 19:49:51,on
2023-12-07 19:51:47,off
2023-12-07 21:28:22,on
2023-12-07 21:29:12,off
2023-12-08 04:54:20,on
2023-12-08 04:54:33,off
2023-12-08 04:57:26,on
2023-12-08 04:59:53,off
2023-12-10 10:52:44,unavailable
2023-12-10 10:52:51,off
2023-12-11 00:01:48,on
2023-12-11 00:01:57,off
2023-12-11 02:42:51,unavailable
2023-12-11 02:43:53,off
2023-12-11 05:53:23,on
2023-12-11 05:53:29,off
2023-12-11 07:50:50,on
2023-12-11 07:57:08,off
2023-12-11 08:05:35,on
2023-12-11 08:05:45,off
2023-12-11 09:14:21,on
2023-12-11 09:15:48,off
2023-12-11 11:39:06,on
2023-12-11 11:39:43,off
2023-12-11 13:22:43,on
2023-12-11 13:24:07,off
2023-12-11 15:55:37,on
2023-12-11 16:02:16,off
2023-12-11 16:11:18,on
2023-12-11 16:16:15,off
2023-12-11 18:17:49,on
2023-12-11 18:17:53,off
2023-12-11 19:55:00,on
2023-12-11 19:56:10,off
2023-12-11 20:31:17,on
2023-12-11 20:54:47,off
2023-12-12 05:48:59,on
2023-12-12 05:49:03,off
2023-12-12 08:28:53,on
2023-12-12 08:29:08,off
2023-12-12 10:50:37,on
2023-12-12 10:51:03,off
2023-12-12 10:56:36,on
2023-12-12 10:57:31,off
2023-12-12 11:21:44,on
2023-12-12 11:22:48,off
2023-12-12 13:25:51,on
2023-12-12 13:25:53,off
2023-12-12 15:54:43,on
2023-12-12 15:54:46,off
2023-12-12 18:17:47,on
2023-12-12 18:18:36,off
2023-12-12 18:38:53,on
2023-12-12 18:41:59,off
2023-12-12 21:52:56,on
2023-12-12 21:53:00,off
2023-12-12 21:53:26,on
2023-12-12 21:53:43,off
2023-12-13 05:54:12,on
2023-12-13 05:54:17,off
2023-12-13 08:37:40,on
2023-12-13 11:28:38,off
2023-12-13 13:22:50,on
2023-12-13 13:23:38,off
2023-12-13 15:54:33,on
2023-12-13 15:54:37,off
2023-12-13 18:26:58,on
2023-12-13 18:27:03,off
2023-12-13 22:34:32,on
2023-12-13 22:34:48,off
2023-12-14 05:49:21,on
2023-12-14 05:49:31,off
2023-12-14 13:25:31,on
2023-12-14 13:25:34,off
2023-12-14 15:50:58,on
2023-12-14 15:51:02,off
2023-12-14 15:51:13,on
2023-12-14 15:51:16,off
2023-12-14 15:51:23,on
2023-12-14 15:51:26,off
2023-12-14 17:51:09,on
2023-12-14 17:51:17,off
2023-12-14 18:20:32,on
2023-12-14 18:20:38,off
2023-12-14 19:08:02,unavailable
2023-12-14 19:14:30,off
2023-12-14 22:42:24,on
2023-12-14 22:42:40,off
2023-12-14 23:16:27,unavailable
2023-12-15 05:38:29,off
2023-12-15 05:51:54,on
2023-12-15 05:52:04,off
2023-12-15 08:31:33,on
2023-12-15 08:49:12,off
