Time stamp,State
2023-12-05 05:52:42,on
2023-12-05 05:53:59,off
2023-12-05 07:39:44,on
2023-12-05 07:40:54,off
2023-12-05 08:29:23,on
2023-12-05 08:30:39,off
2023-12-05 08:42:03,on
2023-12-05 08:43:09,off
2023-12-05 08:50:57,on
2023-12-05 08:52:05,off
2023-12-05 08:53:52,on
2023-12-05 08:54:57,off
2023-12-05 08:56:04,on
2023-12-05 10:58:07,off
2023-12-05 11:12:26,on
2023-12-05 11:13:34,off
2023-12-05 13:17:12,on
2023-12-05 13:18:22,off
2023-12-05 13:20:10,on
2023-12-05 13:21:20,off
2023-12-05 13:21:51,on
2023-12-05 13:23:09,off
2023-12-05 15:59:52,on
2023-12-05 16:01:41,off
2023-12-05 18:17:54,on
2023-12-05 18:19:03,off
2023-12-05 18:20:06,on
2023-12-05 18:21:17,off
2023-12-05 19:07:29,unavailable
2023-12-05 19:07:51,off
2023-12-05 19:13:33,on
2023-12-05 19:16:10,off
2023-12-05 21:31:12,unavailable
2023-12-05 21:31:54,off
2023-12-06 05:56:51,on
2023-12-06 05:58:10,off
2023-12-06 08:45:20,on
2023-12-06 08:46:33,off
2023-12-06 09:07:26,on
2023-12-06 09:08:42,off
2023-12-06 10:51:06,on
2023-12-06 10:52:17,off
2023-12-06 10:55:28,on
2023-12-06 10:58:19,off
2023-12-06 11:14:13,on
2023-12-06 11:15:17,off
2023-12-06 11:40:44,on
2023-12-06 11:42:42,off
2023-12-06 11:43:07,on
2023-12-06 11:44:09,off
2023-12-06 11:48:14,on
2023-12-06 11:49:54,off
2023-12-06 12:21:29,on
2023-12-06 12:22:36,off
2023-12-06 12:56:06,on
2023-12-06 12:58:13,off
2023-12-06 13:02:19,on
2023-12-06 13:03:59,off
2023-12-06 13:07:44,on
2023-12-06 13:21:11,off
2023-12-06 13:21:41,on
2023-12-06 13:23:28,off
2023-12-06 16:02:31,on
2023-12-06 16:03:46,off
2023-12-06 18:18:21,on
2023-12-06 18:19:31,off
2023-12-06 18:58:15,on
2023-12-06 18:59:30,off
2023-12-06 19:09:52,on
2023-12-06 19:11:03,off
2023-12-06 20:11:44,on
2023-12-06 20:12:56,off
2023-12-06 20:38:34,on
2023-12-06 20:39:48,off
2023-12-06 21:38:58,on
2023-12-06 21:40:29,off
2023-12-06 21:46:28,on
2023-12-06 21:47:32,off
2023-12-06 21:48:34,on
2023-12-06 21:49:52,off
2023-12-06 23:16:37,on
2023-12-06 23:18:07,off
2023-12-07 08:14:06,on
2023-12-07 08:15:12,off
2023-12-07 08:37:28,on
2023-12-07 08:39:19,off
2023-12-07 11:59:34,on
2023-12-07 12:01:59,off
2023-12-07 14:54:16,on
2023-12-07 14:56:36,off
2023-12-07 18:37:22,on
2023-12-07 18:38:49,off
2023-12-07 18:41:59,on
2023-12-07 18:44:01,off
2023-12-07 18:47:43,on
2023-12-07 18:48:54,off
2023-12-07 18:49:44,on
2023-12-07 18:50:49,off
2023-12-07 18:50:59,on
2023-12-07 18:52:08,off
2023-12-07 18:52:28,on
2023-12-07 18:53:39,off
2023-12-07 19:49:46,on
2023-12-07 19:50:56,off
2023-12-07 19:51:29,on
2023-12-07 19:52:52,off
2023-12-07 21:28:16,on
2023-12-07 21:30:29,off
2023-12-07 22:21:39,on
2023-12-07 22:22:42,off
2023-12-07 23:09:02,on
2023-12-07 23:10:21,off
2023-12-07 23:14:45,on
2023-12-07 23:15:56,off
2023-12-08 00:53:15,on
2023-12-08 00:54:46,off
2023-12-08 04:54:14,on
2023-12-08 04:55:49,off
2023-12-08 04:57:22,on
2023-12-08 04:59:15,off
2023-12-08 04:59:39,on
2023-12-08 05:00:55,off
2023-12-10 10:52:44,unavailable
2023-12-10 10:52:51,off
2023-12-11 00:01:50,on
2023-12-11 00:03:21,off
2023-12-11 00:08:09,on
2023-12-11 00:10:02,off
2023-12-11 00:36:05,on
2023-12-11 00:37:30,off
2023-12-11 02:42:51,unavailable
2023-12-11 02:43:53,off
2023-12-11 03:41:33,on
2023-12-11 03:42:45,off
2023-12-11 05:52:58,on
2023-12-11 05:54:44,off
2023-12-11 07:50:44,on
2023-12-11 07:53:13,off
2023-12-11 07:57:02,on
2023-12-11 07:58:16,off
2023-12-11 08:05:28,on
2023-12-11 08:06:52,off
2023-12-11 08:36:29,on
2023-12-11 08:37:44,off
2023-12-11 09:05:28,on
