Time stamp,State
2023-12-05 05:48:40,on
2023-12-05 05:53:35,off
2023-12-05 06:49:54,on
2023-12-05 06:51:12,off
2023-12-05 07:44:27,on
2023-12-05 07:45:32,off
2023-12-05 16:05:32,on
2023-12-05 16:11:28,off
2023-12-05 16:17:55,on
2023-12-05 16:19:07,off
2023-12-05 16:21:13,on
2023-12-05 16:22:17,off
2023-12-05 16:22:45,on
2023-12-05 16:28:33,off
2023-12-05 16:55:02,on
2023-12-05 16:56:35,off
2023-12-05 17:08:18,on
2023-12-05 17:09:24,off
2023-12-05 17:21:58,on
2023-12-05 17:28:21,off
2023-12-05 18:14:45,on
2023-12-05 18:17:14,off
2023-12-05 18:20:22,on
2023-12-05 18:23:13,off
2023-12-05 18:52:45,on
2023-12-05 18:54:22,off
2023-12-05 18:59:36,on
2023-12-05 19:01:11,off
2023-12-05 19:04:26,on
2023-12-05 19:07:29,unavailable
2023-12-05 19:07:51,on
2023-12-05 19:08:14,off
2023-12-05 19:09:51,on
2023-12-05 19:13:04,off
2023-12-05 19:13:16,on
2023-12-05 19:14:34,off
2023-12-05 19:14:41,on
2023-12-05 19:21:40,off
2023-12-05 19:22:07,on
2023-12-05 19:23:11,off
2023-12-05 19:23:26,on
2023-12-05 19:25:47,off
2023-12-05 19:26:43,on
2023-12-05 19:45:22,off
2023-12-05 19:46:44,on
2023-12-05 20:04:37,off
2023-12-05 20:04:59,on
2023-12-05 20:06:08,off
2023-12-05 20:06:35,on
2023-12-05 20:07:59,off
2023-12-05 20:18:05,on
2023-12-05 20:26:40,off
2023-12-05 20:28:47,on
2023-12-05 20:32:00,off
2023-12-05 20:32:21,on
2023-12-05 20:34:02,off
2023-12-05 20:37:42,on
2023-12-05 21:15:13,off
2023-12-05 21:15:31,on
2023-12-05 21:18:45,off
2023-12-05 21:21:01,on
2023-12-05 21:25:57,off
2023-12-05 21:26:09,on
2023-12-05 21:31:12,unavailable
2023-12-05 21:31:54,off
2023-12-05 21:35:32,on
2023-12-05 21:48:32,off
2023-12-05 21:48:37,on
2023-12-05 21:59:03,off
2023-12-05 21:59:59,on
2023-12-05 22:01:11,off
2023-12-05 22:01:29,on
2023-12-05 22:06:10,off
2023-12-05 22:07:38,on
2023-12-05 22:12:14,off
2023-12-05 22:12:25,on
2023-12-05 22:16:02,off
2023-12-05 22:19:18,on
2023-12-05 22:20:33,off
2023-12-05 22:37:30,on
2023-12-05 22:44:18,off
2023-12-05 23:00:44,on
2023-12-05 23:02:10,off
2023-12-06 02:13:23,on
2023-12-06 02:14:46,off
2023-12-06 05:48:38,on
2023-12-06 05:51:38,off
2023-12-06 05:51:58,on
2023-12-06 05:53:07,off
2023-12-06 05:54:02,on
2023-12-06 05:57:49,off
2023-12-06 07:50:05,on
2023-12-06 07:52:14,off
2023-12-06 07:53:10,on
2023-12-06 07:54:57,off
2023-12-06 07:57:50,on
2023-12-06 07:59:09,off
2023-12-06 07:59:58,on
2023-12-06 08:01:29,off
2023-12-06 08:01:53,on
2023-12-06 08:05:44,off
2023-12-06 08:05:56,on
2023-12-06 08:07:17,off
2023-12-06 08:07:53,on
2023-12-06 08:09:13,off
2023-12-06 08:09:46,on
2023-12-06 08:12:30,off
2023-12-06 08:14:32,on
2023-12-06 08:15:36,off
2023-12-06 08:15:57,on
2023-12-06 08:17:49,off
2023-12-06 08:18:30,on
2023-12-06 08:19:50,off
2023-12-06 08:20:16,on
2023-12-06 08:21:42,off
2023-12-06 08:25:42,on
2023-12-06 08:27:47,off
2023-12-06 08:27:55,on
2023-12-06 08:31:35,off
2023-12-06 08:32:45,on
2023-12-06 08:34:51,off
2023-12-06 08:34:58,on
2023-12-06 08:37:41,off
2023-12-06 08:39:57,on
2023-12-06 08:44:01,off
2023-12-06 09:07:43,on
2023-12-06 09:16:11,off
2023-12-06 09:17:07,on
2023-12-06 09:18:11,off
2023-12-06 09:18:50,on
2023-12-06 09:20:54,off
2023-12-06 09:24:07,on
2023-12-06 09:25:11,off
2023-12-06 09:29:58,on
2023-12-06 09:32:03,off
2023-12-06 09:32:37,on
2023-12-06 09:39:02,off
2023-12-06 09:39:59,on
2023-12-06 09:43:23,off
2023-12-06 09:43:48,on
2023-12-06 09:45:17,off
2023-12-06 09:46:01,on
2023-12-06 09:48:03,off
2023-12-06 09:48:36,on
2023-12-06 09:51:26,off
2023-12-06 09:52:00,on
2023-12-06 09:53:16,off
2023-12-06 09:53:24,on
2023-12-06 09:56:27,off
2023-12-06 09:57:40,on
2023-12-06 09:58:48,off
2023-12-06 10:00:10,on
2023-12-06 10:02:06,off
2023-12-06 10:03:19,on
2023-12-06 10:04:23,off
2023-12-06 10:05:13,on
2023-12-06 10:06:17,off
2023-12-06 10:07:54,on
2023-12-06 10:09:46,off
