Time stamp,State
2023-12-05 05:53:31,on
2023-12-05 05:53:37,off
2023-12-05 08:57:33,on
2023-12-05 08:57:43,off
2023-12-05 10:56:25,on
2023-12-05 10:56:28,off
2023-12-05 13:22:34,on
2023-12-05 15:59:27,off
2023-12-05 18:17:35,on
2023-12-05 18:17:38,off
2023-12-05 19:07:29,unavailable
2023-12-05 19:07:51,off
2023-12-05 21:31:12,unavailable
2023-12-05 21:31:54,off
2023-12-06 05:57:35,on
2023-12-06 05:57:39,off
2023-12-06 13:22:56,on
2023-12-07 14:54:49,off
2023-12-07 19:50:15,on
2023-12-07 19:51:12,off
2023-12-08 05:00:28,on
2023-12-08 05:00:47,off
2023-12-10 10:52:44,unavailable
2023-12-10 10:52:51,off
2023-12-11 00:01:07,on
2023-12-11 00:01:13,off
2023-12-11 02:42:51,unavailable
2023-12-11 02:43:53,off
2023-12-11 13:23:15,on
2023-12-11 13:23:42,off
2023-12-11 15:56:23,on
2023-12-11 16:13:18,off
2023-12-11 18:17:22,on
2023-12-11 18:17:25,off
2023-12-11 19:55:20,on
2023-12-11 19:55:51,off
2023-12-12 05:49:37,on
2023-12-12 05:49:45,off
2023-12-12 13:26:26,on
2023-12-12 13:26:31,off
2023-12-12 15:54:12,on
2023-12-12 15:54:16,off
2023-12-12 18:18:04,on
2023-12-12 18:18:10,off
2023-12-12 18:39:07,on
2023-12-12 18:40:54,off
2023-12-13 05:54:54,on
2023-12-13 05:55:00,off
2023-12-13 13:24:06,on
2023-12-13 13:24:12,off
2023-12-13 15:54:05,on
2023-12-13 15:54:08,off
2023-12-13 18:26:37,on
2023-12-13 18:26:41,off
2023-12-13 19:53:03,on
2023-12-13 19:53:33,off
2023-12-14 05:50:02,on
2023-12-14 05:50:17,off
2023-12-14 13:26:03,on
2023-12-14 13:26:09,off
2023-12-14 15:50:23,on
2023-12-14 15:50:26,off
2023-12-14 17:51:35,on
2023-12-14 17:51:40,off
2023-12-14 18:20:03,on
2023-12-14 18:20:08,off
2023-12-14 19:08:02,unavailable
2023-12-14 19:14:30,off
2023-12-14 23:16:27,unavailable
2023-12-15 05:38:29,off
2023-12-15 05:52:37,on
2023-12-15 05:52:51,off
