Time stamp,State
2023-12-05 17:28:21,on
2023-12-05 19:07:29,unavailable
2023-12-05 19:07:51,on
2023-12-05 21:31:12,unavailable
2023-12-05 21:31:54,on
2023-12-10 10:52:44,unavailable
2023-12-10 10:52:51,on
2023-12-11 02:42:51,unavailable
2023-12-11 02:43:53,on
2023-12-13 19:01:44,off
2023-12-13 19:01:48,on
2023-12-13 19:02:02,off
2023-12-13 19:02:10,on
2023-12-13 19:02:15,off
2023-12-13 20:34:01,on
2023-12-13 20:34:24,off
2023-12-13 22:35:43,on
2023-12-14 18:27:27,off
2023-12-14 19:08:02,unavailable
2023-12-14 19:14:30,off
2023-12-14 20:42:11,on
2023-12-14 20:42:29,off
2023-12-14 21:55:10,on
2023-12-14 21:55:26,off
2023-12-14 22:13:03,on
2023-12-14 22:13:23,off
2023-12-14 22:43:28,on
2023-12-14 23:16:27,unavailable
2023-12-15 05:38:29,on
