Time stamp,State
2023-12-05 05:48:32,on
2023-12-05 05:49:40,off
2023-12-05 07:38:54,on
2023-12-05 07:46:49,off
2023-12-05 08:19:58,on
2023-12-05 08:23:22,off
2023-12-05 16:00:11,on
2023-12-05 16:01:18,off
2023-12-05 16:25:50,on
2023-12-05 16:26:55,off
2023-12-05 18:14:48,on
2023-12-05 18:15:57,off
2023-12-05 19:07:29,unavailable
2023-12-05 19:07:51,off
2023-12-05 19:12:34,on
2023-12-05 19:13:46,off
2023-12-05 19:17:26,on
2023-12-05 19:19:42,off
2023-12-05 19:20:37,on
2023-12-05 19:23:24,off
2023-12-05 19:26:52,on
2023-12-05 19:28:14,off
2023-12-05 20:38:01,on
2023-12-05 21:16:31,off
2023-12-05 21:31:12,unavailable
2023-12-05 21:31:54,off
2023-12-05 21:43:28,on
2023-12-05 21:44:40,off
2023-12-06 02:13:27,on
2023-12-06 02:14:30,off
2023-12-06 05:49:06,on
2023-12-06 05:55:38,off
2023-12-06 11:09:58,on
2023-12-06 11:11:11,off
2023-12-06 11:13:01,on
2023-12-06 11:15:57,off
2023-12-06 11:16:09,on
2023-12-06 11:17:23,off
2023-12-06 11:35:58,on
2023-12-06 11:37:13,off
2023-12-06 12:47:48,on
2023-12-06 12:49:00,off
2023-12-06 16:02:59,on
2023-12-06 16:04:32,off
2023-12-06 21:56:15,on
2023-12-06 21:57:51,off
2023-12-06 22:03:02,on
2023-12-06 22:04:10,off
2023-12-06 22:16:59,on
2023-12-06 22:18:12,off
2023-12-07 00:29:24,on
2023-12-07 00:33:07,off
2023-12-07 07:54:44,on
2023-12-07 07:57:05,off
2023-12-07 08:06:47,on
2023-12-07 08:07:57,off
2023-12-07 08:32:38,on
2023-12-07 08:33:57,off
2023-12-07 09:17:49,on
2023-12-07 09:18:59,off
2023-12-07 14:40:53,on
2023-12-07 14:41:57,off
2023-12-07 15:02:11,on
2023-12-07 15:03:26,off
2023-12-07 15:10:41,on
2023-12-07 15:11:54,off
2023-12-07 17:24:23,on
2023-12-07 17:26:42,off
2023-12-07 18:33:51,on
2023-12-07 18:38:41,off
2023-12-07 19:08:16,on
2023-12-07 19:09:58,off
2023-12-07 19:36:48,on
2023-12-07 19:38:05,off
2023-12-07 19:43:19,on
2023-12-07 19:45:54,off
2023-12-07 20:43:32,on
2023-12-07 20:46:23,off
2023-12-07 21:37:20,on
2023-12-07 21:38:40,off
2023-12-07 21:40:35,on
2023-12-07 21:41:39,off
2023-12-07 21:45:02,on
2023-12-07 21:47:22,off
2023-12-07 22:20:26,on
2023-12-07 22:22:00,off
2023-12-07 23:09:36,on
2023-12-07 23:11:14,off
2023-12-07 23:14:15,on
2023-12-07 23:15:40,off
2023-12-07 23:36:58,on
2023-12-07 23:38:12,off
2023-12-10 10:52:44,unavailable
2023-12-10 10:52:51,off
2023-12-11 00:17:20,on
2023-12-11 00:18:43,off
2023-12-11 00:33:38,on
2023-12-11 00:34:46,off
2023-12-11 00:45:42,on
2023-12-11 00:47:55,off
2023-12-11 02:42:51,unavailable
2023-12-11 02:43:53,off
2023-12-11 05:55:52,on
2023-12-11 05:57:10,off
2023-12-11 08:01:49,on
2023-12-11 08:03:00,off
2023-12-11 08:49:27,on
2023-12-11 08:50:39,off
2023-12-11 09:08:36,on
2023-12-11 09:10:23,off
2023-12-11 09:16:48,on
2023-12-11 09:18:09,off
2023-12-11 09:19:09,on
2023-12-11 09:28:27,off
2023-12-11 09:34:20,on
2023-12-11 09:35:34,off
2023-12-11 11:26:03,on
2023-12-11 11:29:27,off
2023-12-11 11:31:02,on
2023-12-11 11:33:47,off
2023-12-11 12:55:06,on
2023-12-11 12:57:40,off
2023-12-11 13:03:38,on
2023-12-11 13:04:44,off
2023-12-11 19:07:22,on
2023-12-11 19:08:27,off
2023-12-11 20:07:32,on
2023-12-11 20:08:46,off
2023-12-11 21:01:47,on
2023-12-11 21:05:07,off
2023-12-11 21:43:32,on
2023-12-11 21:44:58,off
2023-12-11 22:13:51,on
2023-12-11 22:15:04,off
2023-12-12 05:37:55,on
2023-12-12 05:39:00,off
2023-12-12 10:01:10,on
2023-12-12 10:02:24,off
2023-12-12 12:08:33,on
2023-12-12 12:09:47,off
2023-12-12 15:55:16,on
2023-12-12 15:56:27,off
